Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,BioProject,GenBank_Title
MN703776,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-70715-2003,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7353,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,oronasopharynx,2003-08-07,NA,NA,"Echovirus E11 isolate TW-70715-2003 polyprotein gene, complete cds"
MN703777,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-70783-2003,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7351,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,oronasopharynx,2003-08-28,NA,NA,"Echovirus E11 isolate TW-70783-2003 polyprotein gene, complete cds"
MN703779,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-01338-2004,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),6987,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,cerebrospinal fluid,2004-05-21,NA,NA,"Echovirus E11 isolate TW-01338-2004 polyprotein gene, partial cds"
MN703782,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-01800-2018,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7354,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,cerebrospinal fluid,2018-05-16,NA,NA,"Echovirus E11 isolate TW-01800-2018 polyprotein gene, complete cds"
MN703783,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-01877-2018,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7383,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,oronasopharynx,2018-05-23,NA,NA,"Echovirus E11 isolate TW-01877-2018 polyprotein gene, complete cds"
MN703785,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-01908-2018,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7386,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,cerebrospinal fluid,2018-05-25,NA,NA,"Echovirus E11 isolate TW-01908-2018 polyprotein gene, complete cds"
MN703786,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-01923-2018,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7266,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,cerebrospinal fluid,2018-05-26,NA,NA,"Echovirus E11 isolate TW-01923-2018 polyprotein gene, partial cds"
MN703787,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-01930-2018,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7425,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,cerebrospinal fluid,2018-05-26,NA,NA,"Echovirus E11 isolate TW-01930-2018 polyprotein gene, complete cds"
MN703788,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-01931-2018,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7402,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,cerebrospinal fluid,2018-05-26,NA,NA,"Echovirus E11 isolate TW-01931-2018 polyprotein gene, complete cds"
MN703792,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-02173-2018,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7417,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,cerebrospinal fluid,2018-06-11,NA,NA,"Echovirus E11 isolate TW-02173-2018 polyprotein gene, complete cds"
MN703793,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-02213-2018,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7414,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,oronasopharynx,2018-06-13,NA,NA,"Echovirus E11 isolate TW-02213-2018 polyprotein gene, complete cds"
MN703794,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-02381-2018,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7285,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,cerebrospinal fluid,2018-06-25,NA,NA,"Echovirus E11 isolate TW-02381-2018 polyprotein gene, partial cds"
MN703795,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-02400-2018,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7430,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,oronasopharynx,2018-06-26,NA,NA,"Echovirus E11 isolate TW-02400-2018 polyprotein gene, complete cds"
MN703797,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-02463-2018,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7405,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,oronasopharynx,2018-07-02,NA,NA,"Echovirus E11 isolate TW-02463-2018 polyprotein gene, complete cds"
MN703798,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-02584-2018,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7415,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,oronasopharynx,2018-07-09,NA,NA,"Echovirus E11 isolate TW-02584-2018 polyprotein gene, complete cds"
MN703800,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-02616-2018,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7341,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,oronasopharynx,2018-07-11,NA,NA,"Echovirus E11 isolate TW-02616-2018 polyprotein gene, complete cds"
MN703801,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-02657-2018,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7392,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,oronasopharynx,2018-07-14,NA,NA,"Echovirus E11 isolate TW-02657-2018 polyprotein gene, complete cds"
MN703802,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-02766-2018,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7400,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,oronasopharynx,2018-07-21,NA,NA,"Echovirus E11 isolate TW-02766-2018 polyprotein gene, complete cds"
MN703803,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-02912-2018,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7411,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,oronasopharynx,2018-08-01,NA,NA,"Echovirus E11 isolate TW-02912-2018 polyprotein gene, complete cds"
MN703804,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-03184-2018,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7437,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,oronasopharynx,2018-08-19,NA,NA,"Echovirus E11 isolate TW-03184-2018 polyprotein gene, complete cds"
MN703805,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-50568-2018,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7413,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,oronasopharynx,2018-05-28,NA,NA,"Echovirus E11 isolate TW-50568-2018 polyprotein gene, complete cds"
MN703806,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-50602-2018,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7456,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,oronasopharynx,2018-05-31,NA,NA,"Echovirus E11 isolate TW-50602-2018 polyprotein gene, complete cds"
MN703807,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-50605-2018,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7407,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,oronasopharynx,2018-05-31,NA,NA,"Echovirus E11 isolate TW-50605-2018 polyprotein gene, complete cds"
MN703808,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-50644-2018,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7413,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,oronasopharynx,2018-06-05,NA,NA,"Echovirus E11 isolate TW-50644-2018 polyprotein gene, complete cds"
MN703809,Echovirus E11,NA,"Tsao,K.-C., Gong,Y.-N., Yang,S.-L., Liu,Y.-C.","Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine",Taiwan,2023-12-31,TW-50804-2018,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7461,GenBank,partial,E11,NA,NA,Taiwan,Taiwan,NA,Homo sapiens,oronasopharynx,2018-07-07,NA,NA,"Echovirus E11 isolate TW-50804-2018 polyprotein gene, complete cds"
OR039175,Echovirus E11,NA,"Yi,W.F., Zhang,N.L., Wu,C.C., Zheng,Z.H.","Chinese Academy of Sciences, State Key Laboratory of Virology, Wuhan Institute of Virology",China,2023-12-15,E11/WH/002/2019,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7841,GenBank,complete,NA,NA,NA,China,China,NA,Homo sapiens,NA,2019,NA,NA,"Echovirus E11 isolate E11/WH/002/2019, complete genome"
OR039176,Echovirus E11,NA,"Yi,W.F., Zhang,N.L., Wu,C.C., Zheng,Z.H.","Chinese Academy of Sciences, State Key Laboratory of Virology, Wuhan Institute of Virology",China,2023-12-15,E11/WH/003/2019,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7555,GenBank,complete,NA,NA,NA,China,China,NA,Homo sapiens,NA,2019,NA,NA,"Echovirus E11 isolate E11/WH/003/2019, complete genome"
OR039177,Echovirus E11,NA,"Yi,W.F., Zhang,N.L., Wu,C.C., Zheng,Z.H.","Chinese Academy of Sciences, State Key Laboratory of Virology, Wuhan Institute of Virology",China,2023-12-15,E11/WH/004/2019,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7880,GenBank,complete,NA,NA,NA,China,China,NA,Homo sapiens,NA,2019,NA,NA,"Echovirus E11 isolate E11/WH/004/2019, complete genome"
OR039178,Echovirus E11,NA,"Yi,W.F., Zhang,N.L., Wu,C.C., Zheng,Z.H.","Chinese Academy of Sciences, State Key Laboratory of Virology, Wuhan Institute of Virology",China,2023-12-15,E11/WH/005/2019,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7478,GenBank,complete,NA,NA,NA,China,China,NA,Homo sapiens,NA,2019,NA,NA,"Echovirus E11 isolate E11/WH/005/2019, complete genome"
OR039179,Echovirus E11,NA,"Yi,W.F., Zhang,N.L., Wu,C.C., Zheng,Z.H.","Chinese Academy of Sciences, State Key Laboratory of Virology, Wuhan Institute of Virology",China,2023-12-15,E11/WH/006/2019,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7510,GenBank,complete,NA,NA,NA,China,China,NA,Homo sapiens,NA,2019,NA,NA,"Echovirus E11 isolate E11/WH/006/2019, complete genome"
OR678399,Coxsackievirus A9,NA,"Kamalova,D., Akhmetova,A., Amirgazin,A., Sytnik,I., Rudenko,V., Yessimkhanova,G., Bayesheva,D., Yegorov,S., Shevtsov,A.","National Center for Biotechnology, Kazakhstan, Laboratory of Applied Genetics",Kazakhstan,2023-11-25,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7238,GenBank,partial,NA,NA,NA,Kazakhstan: Astana,Kazakhstan,NA,Homo sapiens,cerebrospinal fluid,2022-09-11,NA,NA,"Coxsackievirus A9 strain EV-105/CVA9/KAZ/2022 polyprotein gene, complete cds"
OR678401,Echovirus E11,NA,"Kamalova,D., Akhmetova,A., Amirgazin,A., Sytnik,I., Rudenko,V., Yessimkhanova,G., Bayesheva,D., Yegorov,S., Shevtsov,A.","National Center for Biotechnology, Kazakhstan, Laboratory of Applied Genetics",Kazakhstan,2023-11-25,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7232,GenBank,partial,NA,NA,NA,Kazakhstan: Astana,Kazakhstan,NA,Homo sapiens,cerebrospinal fluid,2022-06-02,NA,NA,"Echovirus E11 strain EV-14/E11/KAZ/2022 polyprotein gene, complete cds"
OR678402,Echovirus E21,NA,"Kamalova,D., Akhmetova,A., Amirgazin,A., Sytnik,I., Rudenko,V., Yessimkhanova,G., Bayesheva,D., Yegorov,S., Shevtsov,A.","National Center for Biotechnology, Kazakhstan, Laboratory of Applied Genetics",Kazakhstan,2023-11-25,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7216,GenBank,partial,NA,NA,NA,Kazakhstan: Astana,Kazakhstan,NA,Homo sapiens,cerebrospinal fluid,2022-06-14,NA,NA,"Echovirus E21 strain EV-16/E21/KAZ/2022 polyprotein gene, complete cds"
OR678405,Coxsackievirus B5,NA,"Kamalova,D., Akhmetova,A., Amirgazin,A., Sytnik,I., Rudenko,V., Yessimkhanova,G., Bayesheva,D., Yegorov,S., Shevtsov,A.","National Center for Biotechnology, Kazakhstan, Laboratory of Applied Genetics",Kazakhstan,2023-11-25,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7225,GenBank,partial,NA,NA,NA,Kazakhstan: Astana,Kazakhstan,NA,Homo sapiens,cerebrospinal fluid,2022-06-12,NA,NA,"Coxsackievirus B5 strain EV-18/CVB5/KAZ/2022 polyprotein gene, complete cds"
OR678406,Echovirus E11,NA,"Kamalova,D., Akhmetova,A., Amirgazin,A., Sytnik,I., Rudenko,V., Yessimkhanova,G., Bayesheva,D., Yegorov,S., Shevtsov,A.","National Center for Biotechnology, Kazakhstan, Laboratory of Applied Genetics",Kazakhstan,2023-11-25,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7218,GenBank,partial,NA,NA,NA,Kazakhstan: Astana,Kazakhstan,NA,Homo sapiens,cerebrospinal fluid,2022-06-09,NA,NA,"Echovirus E11 strain EV-22-vir1/E11/KAZ/2022 polyprotein gene, complete cds"
OR678407,Coxsackievirus B5,NA,"Kamalova,D., Akhmetova,A., Amirgazin,A., Sytnik,I., Rudenko,V., Yessimkhanova,G., Bayesheva,D., Yegorov,S., Shevtsov,A.","National Center for Biotechnology, Kazakhstan, Laboratory of Applied Genetics",Kazakhstan,2023-11-25,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),6851,GenBank,partial,NA,NA,NA,Kazakhstan: Astana,Kazakhstan,NA,Homo sapiens,cerebrospinal fluid,2022-06-09,NA,NA,"Coxsackievirus B5 strain EV-22-vir2/CVB5/KAZ/2022 polyprotein gene, complete cds"
OR678408,Coxsackievirus A9,NA,"Kamalova,D., Akhmetova,A., Amirgazin,A., Sytnik,I., Rudenko,V., Yessimkhanova,G., Bayesheva,D., Yegorov,S., Shevtsov,A.","National Center for Biotechnology, Kazakhstan, Laboratory of Applied Genetics",Kazakhstan,2023-11-25,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7198,GenBank,partial,NA,NA,NA,Kazakhstan: Astana,Kazakhstan,NA,Homo sapiens,cerebrospinal fluid,2022-06-08,NA,NA,"Coxsackievirus A9 strain EV-25/CVA9/KAZ/2022 polyprotein gene, complete cds"
OR678409,Echovirus E9,NA,"Kamalova,D., Akhmetova,A., Amirgazin,A., Sytnik,I., Rudenko,V., Yessimkhanova,G., Bayesheva,D., Yegorov,S., Shevtsov,A.","National Center for Biotechnology, Kazakhstan, Laboratory of Applied Genetics",Kazakhstan,2023-11-25,NA,Enterovirus B,Enterovirus,Picornaviridae,ssRNA(+),7260,GenBank,partial,NA,NA,NA,Kazakhstan: Astana,Kazakhstan,NA,Homo sapiens,cerebrospinal fluid,2022-06-15,NA,NA,"Echovirus E9 strain EV-28/E9/KAZ/2022 polyprotein gene, complete cds"
